Age,Mortality,Gender,Industry
23,0.000186,Female,Blue Collar
24,0.00019,Female,Blue Collar
25,0.000194,Female,Blue Collar
26,0.000201,Female,Blue Collar
27,0.00021,Female,Blue Collar
28,0.00022,Female,Blue Collar
29,0.000231,Female,Blue Collar
30,0.000244,Female,Blue Collar
31,0.000259,Female,Blue Collar
32,0.000274,Female,Blue Collar
33,0.000289,Female,Blue Collar
34,0.000305,Female,Blue Collar
35,0.000321,Female,Blue Collar
36,0.000336,Female,Blue Collar
37,0.000357,Female,Blue Collar
38,0.00038,Female,Blue Collar
39,0.000409,Female,Blue Collar
40,0.000444,Female,Blue Collar
41,0.000486,Female,Blue Collar
42,0.000535,Female,Blue Collar
43,0.000593,Female,Blue Collar
44,0.000661,Female,Blue Collar
45,0.000737,Female,Blue Collar
46,0.000822,Female,Blue Collar
47,0.000915,Female,Blue Collar
48,0.001016,Female,Blue Collar
49,0.001123,Female,Blue Collar
50,0.001236,Female,Blue Collar
51,0.001353,Female,Blue Collar
52,0.001475,Female,Blue Collar
53,0.001603,Female,Blue Collar
54,0.001736,Female,Blue Collar
55,0.001876,Female,Blue Collar
56,0.002024,Female,Blue Collar
57,0.002182,Female,Blue Collar
58,0.002352,Female,Blue Collar
59,0.002536,Female,Blue Collar
60,0.002739,Female,Blue Collar
61,0.002963,Female,Blue Collar
62,0.003212,Female,Blue Collar
63,0.003491,Female,Blue Collar
64,0.003801,Female,Blue Collar
65,0.004145,Female,Blue Collar
18,0.000132,Female,White Collar
19,0.000137,Female,White Collar
20,0.000137,Female,White Collar
21,0.000137,Female,White Collar
22,0.000137,Female,White Collar
23,0.00014,Female,White Collar
24,0.000143,Female,White Collar
25,0.000146,Female,White Collar
26,0.000151,Female,White Collar
27,0.000158,Female,White Collar
28,0.000165,Female,White Collar
29,0.000174,Female,White Collar
30,0.000184,Female,White Collar
31,0.000195,Female,White Collar
32,0.000206,Female,White Collar
33,0.000218,Female,White Collar
34,0.00023,Female,White Collar
35,0.000241,Female,White Collar
36,0.000253,Female,White Collar
37,0.000268,Female,White Collar
38,0.000286,Female,White Collar
39,0.000308,Female,White Collar
40,0.000334,Female,White Collar
41,0.000365,Female,White Collar
42,0.000402,Female,White Collar
43,0.000446,Female,White Collar
44,0.000497,Female,White Collar
45,0.000554,Female,White Collar
46,0.000618,Female,White Collar
47,0.000689,Female,White Collar
48,0.000764,Female,White Collar
49,0.000845,Female,White Collar
50,0.00093,Female,White Collar
51,0.001018,Female,White Collar
52,0.00111,Female,White Collar
53,0.001206,Female,White Collar
54,0.001306,Female,White Collar
55,0.001412,Female,White Collar
56,0.001523,Female,White Collar
57,0.001642,Female,White Collar
58,0.001769,Female,White Collar
59,0.001908,Female,White Collar
60,0.00206,Female,White Collar
61,0.002229,Female,White Collar
62,0.002417,Female,White Collar
63,0.002627,Female,White Collar
64,0.002859,Female,White Collar
65,0.003119,Female,White Collar
